MemberID,Member_Email,JoinDate,Points,Address
1001,john.doe@email.com,2023-05-15,1500,123 Main Street
1002,jane.smith@email.com,2023-08-01,800,456 Oak Avenue
1003,peter.jones@email.com,2023-11-20,2200,789 Pine Lane
1006,sarah.white@email.com,2024-01-10,300,999 Willow Drive
1007,robert.green@email.com,2024-02-15,450,246 Maple Avenue
1008,linda.black@email.com,2024-03-20,600,135 Cedar Lane
1009,michael.blue@email.com,2024-04-25,750,864 Birch Road
1010,jennifer.gray@email.com,2024-05-30,900,579 Spruce Street
1011,christopher.red@email.com,2024-06-04,1050,258 Walnut Avenue
1012,amanda.yellow@email.com,2024-07-09,1200,159 Cherry Lane
1013,daniel.orange@email.com,2024-08-14,1350,876 Hickory Road
1014,melissa.purple@email.com,2024-09-19,1500,581 Sycamore Street
1015,kevin.pink@email.com,2024-10-24,1650,263 Redwood Avenue
1016,ashley.brown@email.com,2024-10-28,1800,168 Oakwood Lane
1017,ryan.white@email.com,2024-11-02,1950,794 Pinehurst Drive
1018,nicole.green@email.com,2024-11-07,2100,279 Maplewood Avenue
1019,jason.black@email.com,2024-11-12,2250,148 Cedarcrest Lane
1020,stephanie.blue@email.com,2024-11-17,2400,873 Birchwood Road
1021,eric.gray@email.com,2024-11-22,2550,584 Sprucelawn Street
1022,michelle.red@email.com,2024-11-27,2700,267 Walnutcrest Avenue
1023,justin.yellow@email.com,2024-12-02,2850,164 Cherrywood Lane
1024,amanda.orange@email.com,2024-12-07,3000,881 Hickorycrest Road
1025,brian.purple@email.com,2024-12-12,3150,586 Sycamorelawn Street
1026,lauren.pink@email.com,2024-12-17,3300,268 Redwoodcrest Avenue
1027,adam.brown@email.com,2024-12-22,3450,173 Oakwoodcrest Lane
1028,catherine.white@email.com,2024-12-27,3600,799 Pinehurstcrest Drive
1029,matthew.green@email.com,2025-01-01,3750,284 Maplewoodcrest Avenue
1030,rachel.black@email.com,2025-01-06,3900,153 Cedarcrestcrest Lane
1031,nathan.blue@email.com,2025-01-11,4050,878 Birchwoodcrest Road
1032,olivia.gray@email.com,2025-01-16,4200,589 Sprucelawncrest Street
1033,samuel.red@email.com,2025-01-21,4350,272 Walnutcrestcrest Avenue
1034,paige.yellow@email.com,2025-01-26,4500,169 Cherrywoodcrest Lane
1035,andrew.orange@email.com,2025-01-31,4650,886 Hickorycrestcrest Road
1036,victoria.purple@email.com,2025-02-05,4800,591 Sycamorelawncrest Street
1037,patrick.pink@email.com,2025-02-10,4950,274 Redwoodcrestcrest Avenue
1038,jessica.brown@email.com,2025-02-15,5100,179 Oakwoodcrestcrest Lane
1039,matthew.white@email.com,2025-02-20,5250,804 Pinehurstcrestcrest Drive
1040,brandon.green@email.com,2025-02-25,5400,289 Maplewoodcrestcrest Avenue
1041,samantha.black@email.com,2025-03-02,5550,158 Cedarcrestcrestcrest Lane
1042,cody.blue@email.com,2025-03-07,5700,883 Birchwoodcrestcrest Road
1043,,,,
